,publisher,genres,title,price,id,developer,release_year
88335,Casey Labrack,"['Action', 'Indie']",DinoBlaster,4.99,653960.0,Casey Labrack,2018
88337,Stainless Games Ltd,"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,9.99,282010.0,Stainless Games Ltd,1997
88338,Valve,['Action'],Half-Life,9.99,70.0,Valve,1998
88339,dev4play,"['Action', 'Indie', 'RPG']",Fallen Mage,1.99,752360.0,dev4play,2016
88343,ETGgames,"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,0.99,766850.0,ETGgames,2018
88348,Cisamid Inc.,"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,0.99,716110.0,"lalalaZero,Urbanoff",2018
88349,Strategy First,['Strategy'],Disciples II: Gallean's Return,6.99,1640.0,Strategy First,2006
88350,Strategy First,['Strategy'],Disciples II: Rise of the Elves,6.99,1630.0,Strategy First,2006
88351,Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",The Ship: Murder Party,9.99,2400.0,Outerlight Ltd.,2006
88356,Ultraint,"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,7.99,759920.0,Ultraint,2017
88358,TPM.CO SOFT WORKS,"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,10.99,603280.0,TPM.CO SOFT WORKS,2017
88359,Wonderbox Games,"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,9.99,753110.0,Wonderbox Games,2017
88360,Wonderbox Games,"['Action', 'Indie']",Orbitality,9.99,753100.0,Wonderbox Games,2017
88362,Mad Unicorn Games,"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,1.99,764280.0,Mad Unicorn Games,2017
88365,Majesco,['Action'],Advent Rising,9.99,3800.0,GlyphX Games,2005
88366,Introversion Software,"['Indie', 'Strategy']",DEFCON,9.99,1520.0,Introversion Software,2006
88367,Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",The Ship: Single Player,9.99,2420.0,Outerlight Ltd.,2006
88368,Valve,"['Indie', 'Simulation']",Garry's Mod,9.99,4000.0,Facepunch Studios,2006
88369,SimBin,['Racing'],RACE - The WTCC Game,39.99,4230.0,SimBin,2006
88370,Unknown Worlds Entertainment,"['Casual', 'Indie']",Zen of Sudoku,0.0,4900.0,Unknown Worlds Entertainment,2006
88371,"CINEMAX, s.r.o.","['Casual', 'Indie']",Gumboy - Crazy Adventures™,4.99,2520.0,"CINEMAX, s.r.o.",2006
88372,Strategy First,['Strategy'],Ghost Master®,4.99,6200.0,Sick Puppies,2003
88373,Strategy First,['Strategy'],Vegas: Make It Big™,4.99,6210.0,Deepred,2006
88374,Funcom,"['Adventure', 'RPG']",Dreamfall: The Longest Journey,19.99,6300.0,Funcom,2006
88375,Strategy First,['Racing'],FlatOut 2™,9.99,2990.0,Bugbear Entertainment,2006
88376,Strategy First,['Racing'],FlatOut,7.49,6220.0,Bugbear Entertainment,2005
88377,Capcom,"['Action', 'Adventure']",Lost Planet™: Extreme Condition,14.99,6510.0,"CAPCOM Co., Ltd.",2007
88378,2K Games,['Strategy'],CivCity: Rome,9.99,3980.0,"FireFly Studios,Firaxis Games",2006
88379,Arkane Studios,['RPG'],Arx Fatalis,4.99,1700.0,Arkane Studios,2002
88380,Funcom,"['Action', 'Adventure', 'RPG']",The Longest Journey,9.99,6310.0,Funcom,2000
88381,2K Games,['Strategy'],Civilization IV®: Warlords,4.99,3990.0,Firaxis Games,2006
88382,2K Games,['Strategy'],Railroad Tycoon 3,9.99,7610.0,PopTop,2003
88383,"2K Games, Feral Interactive (Mac)",['Strategy'],Sid Meier's Railroads!,9.99,7600.0,"Firaxis Games,Feral Interactive (Mac)",2006
88385,2K Games,['Strategy'],Railroad Tycoon II Platinum,4.99,7620.0,PopTop,1998
88387,2K Games,['Strategy'],X-COM: Terror From the Deep,4.99,7650.0,"MicroProse Software, Inc",1995
88388,"Square Enix, Feral Interactive (Mac)","['Action', 'Adventure']",Tomb Raider: Anniversary,8.99,8000.0,"Crystal Dynamics,Feral Interactive (Mac)",2007
88389,Capcom,['Action'],Devil May Cry® 3 Special Edition,19.99,6550.0,"CAPCOM Co., Ltd.",2006
88390,Telltale Games,"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,19.99,8200.0,Telltale Games,2006
88391,id Software,['Action'],Final DOOM,4.99,2290.0,id Software,1996
88393,Telltale Games,"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,19.99,8210.0,Telltale Games,2006
88394,id Software,['Action'],Ultimate Doom,4.99,2280.0,id Software,1995
88395,id Software,['Action'],Master Levels for Doom II,14.99,9160.0,id Software,1995
88396,id Software,['Action'],DOOM II,4.99,2300.0,id Software,1994
88397,id Software,['Action'],Wolfenstein 3D,4.99,2270.0,id Software,1994
88398,id Software,['Action'],Return to Castle Wolfenstein,4.99,9010.0,Gray Matter Studios,2001
88399,id Software,['Action'],QUAKE Mission Pack 1: Scourge of Armagon,2.99,9040.0,Ritual Entertainment,1997
88400,id Software,['Action'],Spear of Destiny,2.99,9000.0,id Software,1993
88401,Majesco,['Action'],BloodRayne,9.99,3810.0,Terminal Reality,2003
88402,id Software,['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2.99,9030.0,Rogue Entertainment,2007
88403,id Software,['Action'],QUAKE,4.99,2310.0,id Software,2007
88404,THQ Nordic,['Strategy'],Genesis Rising,4.99,3230.0,Metamorf,2007
88405,SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",12.99,9310.0,Relic Entertainment,2006
88406,2K Games,"['Action', 'RPG']",BioShock™,19.99,7670.0,"2K Boston,2K Australia",2007
88407,SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,4570.0,Relic Entertainment,2006
88408,SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,4580.0,Relic Entertainment,2006
88409,SEGA,['Strategy'],Rome: Total War™ - Collection,9.99,4760.0,The Creative Assembly,2004
88410,SEGA,['Strategy'],Rome: Total War™ - Alexander,4.99,4770.0,The Creative Assembly,2006
88411,Big Fish Games,['Casual'],Mystery Case Files: Madame Fate®,6.99,50970.0,Big Fish Games,2007
88414,Rockstar Games,['Action'],Manhunt,9.99,12130.0,Rockstar North,2004
88415,Rockstar Games,['Racing'],Midnight Club 2,9.99,12160.0,Rockstar San Diego,2003
88416,Rockstar Games,['Action'],Max Payne 2: The Fall of Max Payne,9.99,12150.0,Remedy Entertainment,2003
88417,Square Enix,"['Action', 'Adventure']",Tomb Raider: Legend,6.99,7000.0,Crystal Dynamics,2006
88418,Rockstar Games,['Action'],Max Payne,9.99,12140.0,Remedy Entertainment,2001
88419,Electronic Arts,['Strategy'],Command &amp; Conquer: Red Alert 3,19.99,17480.0,EA Los Angeles,2008
88420,"D3Publisher of America, Inc.",['Casual'],PuzzleQuest: Challenge of the Warlords,9.99,12500.0,Infinite Interactive,2007
88421,Strategy First,"['RPG', 'Casual', 'Adventure']",Culpa Innata,9.99,12310.0,Momentum Digital Media Technologies,2007
88422,"ValuSoft, Retroism",['Strategy'],Prison Tycoon 3™: Lockdown,9.99,12510.0,"Gamebryo,Virtual Playground",2007
88423,"ValuSoft, Retroism","['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,9.99,12530.0,SCS Software,2007
88424,"ValuSoft, Retroism",['Racing'],18 Wheels of Steel: American Long Haul,9.99,12520.0,SCS Software,2007
88425,Square Enix,['Action'],Conflict: Denied Ops,5.99,8100.0,Pivotal Games,2008
88426,Bohemia Interactive,['Action'],ARMA: Combat Operations,7.99,2780.0,Bohemia Interactive,2007
88428,THQ Nordic,['Action'],Desperados 2: Cooper's Revenge,9.99,9710.0,Spellbound,2006
88429,1C Company,"['Action', 'Adventure']",Death to Spies,4.99,9800.0,Haggard Games,2007
88430,Atari,['Action'],Act of War: High Treason,2.99,9760.0,Eugen Systems,2006
88431,"Atari, Aspyr (Mac)","['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,19.99,2700.0,"Frontier,Aspyr (Mac)",2006
88432,Atari,['Action'],Act of War: Direct Action,2.99,2710.0,Eugen Systems,2005
88433,"Epic Games, Inc.",['Action'],Unreal 2: The Awakening,14.99,13200.0,"Epic Games, Inc.",2003
88434,"Epic Games, Inc.",['Action'],Unreal Gold,9.99,13250.0,"Epic Games, Inc.",1998
88435,Nunchuck Games,"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,4.99,13000.0,Sanzaru Games,2008
88436,Ubisoft,['Action'],Tom Clancy's Splinter Cell®,9.99,13560.0,Ubisoft,2003
88437,Ubisoft,['Action'],Far Cry®,9.99,13520.0,Crytek Studios,2004
88438,"Epic Games, Inc.",['Action'],Unreal Tournament: Game of the Year Edition,9.99,13240.0,"Epic Games, Inc.",2000
88439,Ubisoft,['Action'],Tom Clancy's Rainbow Six® Vegas,9.99,13540.0,Ubisoft Montreal,2006
88440,Ubisoft,['Simulation'],Silent Hunter® III,9.99,15210.0,Ubisoft,2005
88441,Last Day of Work,"['Casual', 'Simulation']",Virtual Villagers - The Secret City,9.99,16180.0,Last Day of Work,2008
88442,"PopCap Games, Inc.",['Casual'],Mystery P.I.™ - The Vegas Heist,4.99,3520.0,SpinTop Games,2008
88443,MumboJumbo,['Casual'],Luxor,9.99,15970.0,MumboJumbo,2008
88444,MumboJumbo,['Casual'],Reaxxion,9.99,15950.0,MumboJumbo,2008
88445,MumboJumbo,['Casual'],Little Farm,9.99,15960.0,MumboJumbo,2008
88446,MumboJumbo,['Casual'],7 Wonders II,9.99,15900.0,MumboJumbo,2008
88447,MumboJumbo,['Casual'],Luxor Amun Rising,9.99,15910.0,MumboJumbo,2005
88448,MumboJumbo,['Casual'],Luxor 3,9.99,15930.0,MumboJumbo,2007
88449,Ubisoft,['Simulation'],Petz® Horsez® 2,9.99,15160.0,Ubisoft,2007
88450,MumboJumbo,['Casual'],Luxor 2,9.99,15920.0,MumboJumbo,2005
88451,Ubisoft,"['Action', 'Adventure']",Rayman Raving Rabbids™,9.99,15080.0,"Ubisoft Bulgaria,Ubisoft Montpellier",2007
88452,Ubisoft,['Simulation'],Silent Hunter®: Wolves of the Pacific,9.99,15200.0,Ubisoft Romania,2007
88453,1C Online Games,['Simulation'],IL-2 Sturmovik: 1946,9.99,15320.0,1C: Maddox Games,2006
88454,Ubisoft,['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99,15240.0,Ubisoft Romania,2008
88455,Telltale Games,['Adventure'],Bone: Out From Boneville,9.99,8310.0,Telltale Games,2005
88456,"ValuSoft, Retroism",['Racing'],Midnight Outlaw: 6 Hours to SunUp,9.99,12600.0,"Merscom,Babylon",2005
88457,Telltale Games,['Adventure'],Bone: The Great Cow Race,9.99,8320.0,Telltale Games,2006
88458,"ValuSoft, Retroism",['Racing'],Sprint Cars Road to Knoxville,9.99,12590.0,BigAnt Studios,2008
88460,"ValuSoft, Retroism",['Simulation'],Ride! Carnival Tycoon,9.99,12560.0,Gabriel Entertainment,2007
88462,"ValuSoft, Retroism",['Casual'],Mahjongg Investigations: Under Suspicion,9.99,12540.0,Zemnott,2007
88463,Frogwares,['Adventure'],Dracula Origin,9.99,11050.0,Frogwares,2008
88465,Frogwares,"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,9.99,11040.0,Frogwares,2008
88466,Silver Sphere Studios,"['Adventure', 'Indie']",Eternity's Child,4.99,19500.0,"Luc Bernard,SilverSphereStudios",2008
88467,Buka Entertainment,"['Simulation', 'Strategy']",Pacific Storm Allies,7.99,11260.0,Lesta Studio,2007
88468,Meridian4,"['Action', 'Indie']",Tank Universal,4.99,19200.0,Dialogue Design,2008
88469,Strategy First,['Racing'],FlatOut: Ultimate Carnage,19.99,12360.0,Bugbear Entertainment,2008
88470,Oddworld Inhabitants,['Adventure'],Oddworld: Abe's Exoddus®,2.99,15710.0,Oddworld Inhabitants,1998
88471,Oddworld Inhabitants,['Adventure'],Oddworld: Abe's Oddysee®,2.99,15700.0,Oddworld Inhabitants,1997
88472,SimBin,['Racing'],GTR Evolution Expansion Pack for RACE 07,7.99,8660.0,SimBin,2008
88473,2K Games,['Strategy'],X-COM: Enforcer,4.99,7770.0,"MicroProse Software, Inc",2001
88474,2K Games,['Strategy'],X-COM: Apocalypse,4.99,7660.0,"MicroProse Software, Inc",1997
88475,2K Games,['Strategy'],X-COM: UFO Defense,4.99,7760.0,"MicroProse Software, Inc",1993
88476,GSC World Publishing,"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,9.99,20510.0,GSC Game World,2008
88477,Electronic Arts,['Action'],Crysis Warhead®,19.99,17330.0,Crytek,2008
88478,Electronic Arts,['Action'],Crysis,19.99,17300.0,Crytek,2007
88479,2K Games,['Strategy'],X-COM: Interceptor,4.99,7730.0,"MicroProse Software, Inc",1998
88480,"CD PROJEKT RED, 1C-SoftClub","['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,9.99,20900.0,CD PROJEKT RED,2008
88481,Introversion Software,['Indie'],Multiwinia,9.99,1530.0,Introversion Software,2008
88482,SimBin,['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2.99,8690.0,SimBin,2008
88483,"Tilted Mill Entertainment, Inc.","['Strategy', 'Simulation']",Children of the Nile: Alexandria,2.49,17120.0,"Tilted Mill Entertainment, Inc.",2008
88484,2K Games,['Strategy'],Sid Meier's Civilization IV: Colonization,19.99,16810.0,Firaxis Games,2008
88485,Ubisoft,['Action'],Tom Clancy's Rainbow Six® 3 Gold,9.99,19830.0,"Red Storm Entertainment,Ubisoft Montreal",2003
88486,Warner Bros. Interactive Entertainment,"['Action', 'Adventure']",LEGO Batman,19.99,21000.0,Traveller's Tales,2008
88487,Focus Home Interactive,"['Simulation', 'Strategy']",City Life 2008,9.99,4460.0,Monte Cristo,2008
88488,"Tilted Mill Entertainment, Inc.","['RPG', 'Strategy']",Hinterland,9.99,17140.0,"Tilted Mill Entertainment, Inc.",2008
88489,Ubisoft,['Action'],Brothers in Arms: Hell's Highway™,9.99,15390.0,Gearbox Software,2008
88490,Dark Castle Software,"['Indie', 'Casual']",Gravitron 2,4.99,21300.0,Dark Castle Software,2008
88491,Techland,['Racing'],Xpand Rally Xtreme,4.99,3050.0,Techland,2006
88492,Ubisoft,['Strategy'],Heroes of Might &amp; Magic V: Hammers of Fate,9.99,15380.0,Nival,2006
88493,Ubisoft,['Action'],Brothers in Arms: Earned in Blood™,9.99,19800.0,Gearbox Software,2005
88494,Ubisoft,['Strategy'],Heroes of Might &amp; Magic V: Tribes of the East,9.99,15370.0,Nival,2007
88495,Ubisoft,['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,19.99,19930.0,Blue Byte,2008
88496,Ubisoft,['Casual'],Brain Spa,9.99,15350.0,Ubisoft,2007
88497,Ubisoft,['Action'],The Sum of All Fears,9.99,19810.0,Red Storm Entertainment,2002
88498,"PopCap Games, Inc.",['Casual'],Peggle™ Nights,4.99,3540.0,"PopCap Games, Inc.",2008
88499,2D BOY,['Indie'],World of Goo,9.99,22000.0,2D BOY,2008
88500,Egosoft,"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,15.99,2820.0,Egosoft,2008
88501,Tripwire Interactive,['Action'],Mare Nostrum,0.0,1230.0,Sandstorm Productions,2008
88502,Shorebound Studios,"['Casual', 'Indie']",Spectraball,4.99,18300.0,Shorebound Studios,2008
88503,Perpetual FX Creative,"['Indie', 'Casual', 'Sports']",Galactic Bowling,19.99,20200.0,Perpetual FX Creative,2008
88504,Rockstar Games,"['Action', 'Adventure']",Bully: Scholarship Edition,14.99,12200.0,Rockstar New England,2008
88505,Ubisoft,['Action'],Far Cry® 2: Fortune's Edition,9.99,19900.0,Ubisoft Montreal,2008
88506,Meridian4,"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,4.99,11240.0,Meridian4,2008
88507,Dovetail Games,['Simulation'],PRR Wagon Pack 01,4.99,256522.0,RailSimulator.com,2009
88508,Dovetail Games,['Simulation'],"Class 421 London South East ""Jaffa Cake""",4.99,275144.0,RailSimulator.com,2009
88509,Dovetail Games,['Simulation'],ATSF Wagon Pack 01,4.99,256521.0,RailSimulator.com,2009
88510,Dovetail Games,['Simulation'],GP20 Union Pacific Add-on Livery,4.99,222569.0,Reppo,2009
88511,Dovetail Games,['Simulation'],UK Van Wagon Pack,4.99,256535.0,RailSimulator.com,2009
88512,Dovetail Games,['Simulation'],CSX SD70MAC Add-on Livery,4.99,256611.0,Dovetail Games,2009
88513,Dovetail Games,['Simulation'],CSX ES44AC Add-on Livery,4.99,256576.0,Dovetail Games,2009
88514,Deep Silver,['Action'],Saints Row 2,9.99,9480.0,Volition,2009
88515,Electronic Arts,['Action'],Dead Space,19.99,17470.0,EA Redwood Shores,2008
88516,Codemasters,['RPG'],Rise of the Argonauts,9.99,12770.0,Liquid Entertainment,2008
88517,Electronic Arts,"['Action', 'Adventure']",Mirror's Edge™,19.99,17410.0,DICE,2009
88518,Hidden Path Entertainment,"['Indie', 'Strategy']",Defense Grid: The Awakening,9.99,18500.0,Hidden Path Entertainment,2008
88519,Warner Bros. Interactive Entertainment,['Action'],F.E.A.R. 2: Project Origin,14.99,16450.0,Monolith,2009
88520,Oxeye Game Studio,"['Strategy', 'Indie']",Harvest: Massive Encounter,7.99,15400.0,Oxeye Game Studio,2008
88521,Inventive Dingo,"['Indie', 'Strategy']",Mayhem Intergalactic,9.99,18600.0,Inventive Dingo,2007
88522,Meridian4,"['Action', 'Indie']",Larva Mortus,4.99,11340.0,Meridian4,2009
88523,Paradox Interactive,['Strategy'],Knights of Honor,9.99,25830.0,Black Sea Studios Ltd,2005
88524,Assemble Entertainment,"['Action', 'Adventure', 'Strategy']",Ceville,5.99,23460.0,Realmforge Studios,2009
88525,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],Empire: Total War™ - Special Forces Units &amp; Bonus Content,2.99,10600.0,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009
88526,Warner Bros. Interactive Entertainment,['Action'],Watchmen: The End is Nigh,4.99,21010.0,Deadline Games,2009
88527,Frictional Games,"['Action', 'Adventure', 'Indie']",Penumbra Overture,9.99,22180.0,Frictional Games,2007
88528,"Epic Games, Inc.",['Action'],Unreal Tournament 3 Black,19.99,13210.0,"Epic Games, Inc.",2007
88529,DTP Entertainment,['RPG'],Drakensang,9.99,12640.0,Radon Labs,2009
88531,Tale of Tales,"['Indie', 'Simulation']",The Graveyard,4.99,27020.0,Tale of Tales,2008
88532,Electronic Arts,['Racing'],Burnout Paradise: The Ultimate Box,19.99,24740.0,Criterion Games,2009
88534,Twisted Pixel Games,"['Action', 'Indie']",The Maw,9.99,26000.0,Twisted Pixel Games,2009
88535,Twisted Pixel Games,"['Action', 'Indie']",The Maw: River Redirect,1.25,26006.0,Twisted Pixel Games,2009
88536,Twisted Pixel Games,"['Action', 'Indie']",The Maw: Brute Force,1.25,26005.0,Twisted Pixel Games,2009
88537,Meridian4,"['Casual', 'Indie']",Obulis,4.99,11330.0,IonFX,2009
88538,Llamasoft LTD,['Indie'],Space Giraffe,9.99,27800.0,Llamasoft LTD,2009
88539,THQ Nordic,"['Simulation', 'Strategy']",Codename: Panzers - Cold War,14.99,9850.0,"InnoGlow,Stormregion,THQ Nordic",2009
88540,"PopCap Games, Inc.",['Casual'],Escape Rosecliff Island,4.99,3600.0,SpinTop Games,2009
88541,NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall®,19.99,29580.0,ArenaNet®,2006
88542,NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars® Game of the Year Edition,19.99,29540.0,ArenaNet®,2005
88543,NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars Factions®,19.99,29560.0,ArenaNet®,2006
88544,NCsoft,"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,29.99,29570.0,ArenaNet®,2008
88545,Strategy First,['Casual'],Puzzle Kingdoms,14.99,23700.0,Infinite Interactive,2009
88546,MumboJumbo,['Casual'],Samantha Swift and the Golden Touch,9.99,16060.0,MumboJumbo,2009
88547,Topware Interactive,['RPG'],Two Worlds Epic Edition,9.99,1930.0,Reality Pump Studios,2009
88548,"Black Forest Games, THQ Nordic",['Strategy'],Helldorado,9.99,18470.0,Spellbound,2009
88549,Topware Interactive,"['Action', 'Adventure', 'RPG']",X-Blades,9.99,7510.0,Gaijin Entertainment,2009
88550,ACE Team,"['Action', 'Indie']",Zeno Clash,9.99,22200.0,ACE Team,2009
88551,Twisted Pixel Games,['Indie'],The Maw: Speeder Lane,1.25,26007.0,Twisted Pixel Games,2009
88552,1C Company,"['RPG', 'Strategy']",King's Bounty: The Legend,6.99,25900.0,1C Company,2008
88553,Last Day of Work,"['Casual', 'Simulation']",Virtual Families,9.99,16200.0,Last Day of Work,2009
88554,1C Company,['Racing'],Death Track®: Resurrection,2.99,7840.0,Sky Fallen,2009
88555,2K Games,"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,4.99,8890.0,Irrational Games,2005
88556,2K Games,"['RPG', 'Strategy']",Freedom Force,4.99,8880.0,Irrational Games,2002
88557,SaintXi,"['Indie', 'Simulation', 'Strategy']",Light of Altair,14.99,34500.0,SaintXi,2009
88558,Darklight Games,"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,0.0,1280.0,Darklight Games,2009
88559,Activision,"['Action', 'Adventure']",Prototype™,19.99,10150.0,Radical Entertainment,2009
88560,Erik Svedäng,"['Adventure', 'Indie']",Blueberry Garden,4.99,29160.0,Erik Svedäng,Jun 
88561,Strategy First,['Strategy'],Port Royale 2,4.99,12470.0,Ascaron Entertainment ltd.,2004
88563,Bethesda Softworks,['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,14.99,22330.0,Bethesda Game Studios,2007
88564,Bethesda Softworks,['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,14.99,22320.0,Bethesda Game Studios,2002
88566,Strategy First,['Adventure'],Ankh 2: Heart of Osiris,4.99,12440.0,Deck 13,2007
88567,"NovaLogic, THQ Nordic",['Simulation'],Armored Fist 3,9.99,32710.0,NovaLogic,1999
88568,"NovaLogic, THQ Nordic",['Simulation'],MiG-29 Fulcrum,9.99,32740.0,NovaLogic,1998
88569,Strategy First,['Strategy'],BC Kings,4.99,12460.0,Mascot Entertainment,2008
88570,Ubisoft,['Action'],Call of Juarez®: Bound in Blood,9.99,21980.0,Techland,2009
88571,HeR Interactive,['Adventure'],Nancy Drew®: Legend of the Crystal Skull,6.99,31860.0,HeR Interactive,2007
88572,HeR Interactive,['Adventure'],Nancy Drew®: The Creature of Kapu Cave,6.99,31900.0,HeR Interactive,2006
88573,HeR Interactive,['Adventure'],Nancy Drew®: The Phantom of Venice,6.99,31920.0,HeR Interactive,2008
88574,HeR Interactive,['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,6.99,31930.0,HeR Interactive,2007
88575,Digital Eel,"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,0.0,35800.0,Digital Eel,2008
88577,Telltale Games,['Adventure'],Tales of Monkey Island Complete Pack,19.99,31170.0,Telltale Games,2009
88578,Capcom,['Action'],Street Fighter® IV,19.99,21660.0,Capcom,2009
88579,LucasArts,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,9.99,6080.0,Frontier,2007
88580,"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],Indiana Jones® and the Fate of Atlantis™,5.99,6010.0,LucasArts,1992
88581,"LucasArts, Lucasfilm, Disney Interactive",['Action'],Armed and Dangerous®,5.99,6090.0,Planet Moon Studios,2003
88582,"Lucasfilm, LucasArts, Disney Interactive",['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",9.99,6060.0,Pandemic Studios,2005
88583,"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],Indiana Jones® and the Last Crusade™,5.99,32310.0,LucasArts,1989
88584,"LucasArts, Lucasfilm, Disney Interactive","['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,19.99,32330.0,Traveller's Tales,2008
88585,"LucasArts, Lucasfilm, Disney Interactive",['Adventure'],The Secret of Monkey Island: Special Edition,9.99,32360.0,LucasArts,2009
88586,Game Factory Interactive,['Strategy'],Warfare,12.99,35300.0,GFI Russia,2008
88587,Game Factory Interactive,"['Action', 'Racing']",Clutch,9.99,35310.0,Targem Games,2009
88588,HeR Interactive,['Adventure'],Nancy Drew®: Ransom of the Seven Ships,6.99,31980.0,HeR Interactive,2009
88590,Activision,['Sports'],3D Ultra™ Minigolf Adventures,9.99,10140.0,Wanako Games,2006
88591,Activision,['Adventure'],King's Quest™ Collection,19.99,10100.0,Sierra,2006
88592,Activision,['Action'],TimeShift™,19.99,10130.0,Saber Interactive,2007
88593,Activision,['Adventure'],Space Quest™ Collection,19.99,10110.0,Sierra,2006
88594,Tripwire Interactive,['Action'],Killing Floor Outbreak Character Pack,7.99,1256.0,Tripwire Interactive,2009
88595,Activision,"['Action', 'Casual']",Aces of the Galaxy™,9.99,10120.0,Artech Studios,2008
